artist,name,song,person,sentence,year,highestRank
Kodak Black Featuring Future,James,Conscience,True,"Thirteen strippers, James Harden",2017.0,93.0
Kodak Black Featuring Future,Jane,Conscience,True,"Real talk, 150 when it's plain Jane",2017.0,93.0
Kodak Black Featuring Future,Johnson,Conscience,True,"Chris Johnson, I swear for God I drop the twenty-eight",2017.0,93.0
Kodak Black Featuring Future,Levi,Conscience,True,I know my Levi got love for me,2017.0,93.0
Kodak Black Featuring Future,Stephen,Conscience,True,Thirty golds in my mouth like I'm Stephen Curry,2017.0,93.0
Logic,Bobby,Contra,True,"Bobby, tell me who really 'bout it",2018.0,60.0
GoldLink Featuring Brent Faiyaz & Shy Glizzy,Ray,Crew,True,"Girl, you can't tie me down like Ray J said",2017.0,45.0
Lil Baby,Drake,Crush A Lot,True,"Like a Drake song, got your vibe feelin' groovy",2018.0,82.0
Future,Jackie,Crushed Up,True,"Plain Jane, Jackie Chan, Richard Mille",2019.0,43.0
Future,Jane,Crushed Up,True,"Plain Jane, Jackie Chan, Richard Mille",2019.0,43.0
Future,Jason,Crushed Up,True,"I been gettin' NBA money, Jason Kidd",2019.0,43.0
Future,Richard,Crushed Up,True,"Plain Jane, Jackie Chan, Richard Mille",2019.0,43.0
Pitbull x El Chombo x Karol G Featuring Cutty Ranks,Armando,Dame Tu Cosita,True,All my business partners they call me Armando,2018.0,36.0
Pitbull x El Chombo x Karol G Featuring Cutty Ranks,Fernando,Dame Tu Cosita,True,"Then if you got a question, ask Fernando",2018.0,36.0
Pitbull x El Chombo x Karol G Featuring Cutty Ranks,Karol,Dame Tu Cosita,True,Karol G obviamente se pegó,2018.0,36.0
Pitbull x El Chombo x Karol G Featuring Cutty Ranks,Romeo,Dame Tu Cosita,True,"Whippin' this on casa campo, yo soy el diablo, Romeo el santo",2018.0,36.0
Migos & Marshmello,Forrest,Danger,True,"Run like Forrest, they tryna hide",2017.0,82.0
Trippie Redd Featuring Travis Scott,David,Dark Knight Dummo,True,"I, disappear, go David Blaine",2017.0,100.0
Trippie Redd Featuring Travis Scott,Mary,Dark Knight Dummo,True,"Like I'm Bloody Mary, man",2017.0,100.0
Maren Morris Featuring Vince Gill,Jackie,Dear Hate,True,"In Dallas, when that bullet hit and Jackie cried",2017.0,91.0
Maren Morris Featuring Vince Gill,Selma,Dear Hate,True,You were smiling from that Selma bridge,2017.0,91.0
Lil Wayne,Andy,Dedicate,True,"For the art of this shit, Andy Warhol and shit",2018.0,14.0
Lil Wayne,Bart,Dedicate,True,"Cause like Bart, you a simp",2018.0,14.0
Lil Wayne,Carter,Dedicate,True,"It's Tha Carter, lil' bitch",2018.0,14.0
Lil Wayne,Wayne,Dedicate,True,"If it wasn't for Wayne, it wouldn't be",2018.0,14.0
Lil Wayne,Brittany,Demon,True,"And now they're starting to mentor me, geekin' like Brittany",2018.0,81.0
YoungBoy Never Broke Again,Charles,Diamond Teeth Samurai,True,"Whole lotta killing, Helter Skelter like I'm Charles Manson",2018.0,59.0
YoungBoy Never Broke Again,Curtis,Diamond Teeth Samurai,True,Curtis Jackson ain't no actin' when I'm on a mission,2018.0,59.0
YoungBoy Never Broke Again,Rick,Diamond Teeth Samurai,True,Me and Meek Mill watchin' movies in Rick Ross mansion,2018.0,59.0
Tyga & Nicki Minaj,Bobby,Dip,True,"She like Bobby on the shit, I need bag",2018.0,63.0
Tyga & Nicki Minaj,Santana,Dip,True,Santana bandana on the twist,2018.0,63.0
Drake,Robyn,Diplomatic Immunity,True,"Caterin' is from Giorgio Baldi, Robyn's favorite",2018.0,55.0
Drake,Royal,Diplomatic Immunity,True,"Mirror, mirror, on the ceiling of my suite in the Royal Palace",2018.0,55.0
Drake,Shakira,Diplomatic Immunity,True,"Whenever, wherever, OVO will always be together like Shakira",2018.0,55.0
Kendrick Lamar,Brock,DNA.,True,"Eat at Four Daughters, Brock wearin' sandals",2017.0,12.0
Kendrick Lamar,Paula,DNA.,True,This is Paula's oldest son,2017.0,12.0
Drake,Ian,Do Not Disturb,True,All the girls I know are there with Ian Throw,2017.0,60.0
